"Country Code","Survey Section ID","Summary"
"UZB","1","<p style=""margin&#58;0in;font-size&#58;10.5pt;font-family&#58;Consolas;""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">The 2021 UNESCO Recommendation
on Open Science has been promoted through several national channels. The
Ministry of Higher Education, Science and Innovations has shared it as part of
its policy coordination mandate, while the Agency for Innovative Development
has incorporated open science aspects into its projects. The Center for
Scientific and Technical Information has supported awareness-building campaigns
and educational programmes. Research institutions and universities have also
engaged in discussions and training sessions aimed at integrating the Recommendation's
principles into national strategies.</span><span style=""font-family&#58;&quot;Courier New&quot;;""><br><br></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">
Awareness-raising activities on open science have been organised and are
planned through to 2025. The Ministry and the Agency have conducted workshops
and training sessions for researchers, academics and policymakers covering open
science principles, benefits and implementation strategies. National
conferences and forums have facilitated discussion among scientists,
universities and research institutions on open science practices and
challenges. Informational publications and </span><span style=""font-size&#58;11pt;line-height&#58;normal;font-family&#58;calibri;"">online resources</span><span style=""font-family&#58;calibri;font-size&#58;11pt;""> are being developed to reach a wider
audience.</span></p><br>"
"UZB","2","<p style=""margin&#58;0in;font-size&#58;10.5pt;font-family&#58;Consolas;""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">Uzbekistan's
national science, technology and innovation policy is the Strategy for
the Innovative Development of the Republic of Uzbekistan for 2022–2026,
approved by Presidential </span><span style=""font-family&#58;&quot;Courier New&quot;;""><a href=""https&#58;//lex.uz/docs/-6102462""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">Decree No.
PF-165</span></a></span><span style=""font-family&#58;calibri;font-size&#58;11pt;""> on 6 July 2022. Developed by the Ministry of Higher Education,
Science and Innovations, the strategy prioritises innovative infrastructure,
state support for innovative activity, regional innovation in small businesses
and human capital in innovation management. The national legal framework
addressing open science is described as only partly in place, with this decree
as the principal instrument. Specific policy instruments to promote open
science are reported as under development; no dedicated instruments yet exist,
though the strategy indirectly supports open science values through its
emphasis on collaboration and knowledge sharing.</span><span style=""font-family&#58;&quot;Courier New&quot;;""><br></span></p><p style=""margin&#58;0in;font-size&#58;10.5pt;font-family&#58;Consolas;""><span style=""font-family&#58;&quot;Courier New&quot;;""><br></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">
A specific national funding mechanism for open science is established through
Cabinet of Ministers </span><span style=""font-family&#58;&quot;Courier New&quot;;""><a href=""https&#58;//www.lex.uz/uz/docs/-4759202""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">Resolution No.
133</span></a></span><span style=""font-family&#58;calibri;font-size&#58;11pt;""> (9 March 2020) “On&#160;Measures&#160;to&#160;Further&#160;Improve&#160;the&#160;Regulatory&#160;and&#160;Legal&#160;Framework&#160;for&#160;the
Development&#160;of&#160;Scientific&#160;Research&#160;and&#160;Innovation&#160;Activities”.
The same resolution is cited as the basis for integrating open science
practices into existing research funding.</span><span style=""font-family&#58;&quot;Courier New&quot;;""><br><br></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">
Efforts to promote equitable public-private partnerships are set out in several
presidential decrees. Decree No. PF-6097 (29 October 2020) targets raising the
private sector's share of total science funding to 20 per cent by 2025. Both
Decree No. PF-165 and Decree No. PF-16 (30 January 2025) set targets for
private sector investment in science and innovation of 6.0 billion soums. However,
the information provided in the report has not clarified whether open science
is explicitly integrated into these initiatives.</span><span style=""font-family&#58;&quot;Courier New&quot;;""><br><br></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">
A national monitoring framework for open science is planned for implementation
under above-mentioned Resolution No. 133.</span><span style=""font-family&#58;&quot;Courier New&quot;;""><br></span></p><br>"
"UZB","3","<p style=""margin&#58;0in;font-size&#58;10.5pt;font-family&#58;Consolas;""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">National open
science infrastructures are reported as planned rather than operational; the
report states that these will be implemented under Cabinet of Ministers
Resolution No. 133 (9 March 2020).</span><span style=""font-family&#58;&quot;Courier New&quot;;""><br><br></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">
Uzbekistan participates in the Central Asian Network of Science and Education
(CASNET), a federated regional infrastructure supporting high-performance
computing, cloud services and data sharing for universities and research
institutions across Central Asia.</span><span style=""font-family&#58;&quot;Courier New&quot;;""><br><br></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">
The report also describes South-South collaborations through CASNET and other
regional initiatives to promote shared open science platforms, facilitating
research and data exchange with other countries.</span><span style=""font-family&#58;&quot;Courier New&quot;;""><br></span></p><br>"
"UZB","4","<p style=""margin&#58;0in;font-size&#58;10.5pt;font-family&#58;Consolas;""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">Systematic
capacity building on open science has taken place in higher education and
research-performing institutions through training programmes, workshops and
seminars organised by the Ministry of Higher Education, Science and
Innovations, the Agency for Innovative Development and universities. These
address open science principles, data sharing and collaborative research
practices.</span><span style=""font-family&#58;&quot;Courier New&quot;;""><br><br></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">
Capacity building programmes for policymakers have also been conducted. The
National Training Workshop on Science, Technology and Innovation Park Policies
and Practices for Sustainable Development aimed to build policymakers' capacity
in designing and implementing relevant policies. The Modernizing Uzbekistan's
National Innovation System (MUNIS) project, supported by the World Bank,
focuses on strengthening the capacity of public research organisations to
achieve international research quality standards and enable the
commercialisation of research results. However, the information provided in the
report has not clarified whether open science is explicitly integrated into
these initiatives.</span><span style=""font-family&#58;&quot;Courier New&quot;;""><br><br></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">
Educational institutions have begun to incorporate a framework of open science
competencies into higher education research skills curricula, including
training on data sharing, open-access publishing and collaborative research.
Broader frameworks are expected to be fully integrated into university
curricula by 2025.</span><span style=""font-family&#58;&quot;Courier New&quot;;""><br><br></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">
Open educational resources are used for open science capacity building. The
Modernisation of Higher Education in Central Asia through New Technologies
(HiEdTec) project developed a virtual library of Uzbekistan offering digital
educational resources on the Moodle learning management system. A separate
project on capacity building for digital pedagogy offers hybrid courses titled
&quot;The Digital Teacher&quot; for teacher training.</span></p><br>"
"UZB","5","<p style=""margin&#58;0in;font-size&#58;10.5pt;font-family&#58;Consolas;""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">Incorporation of
specific clauses recognising open science practices in career evaluation and
progression systems is reported as planned under Cabinet of Ministers
Resolution No. 133 (9 March 2020).</span><span style=""font-family&#58;&quot;Courier New&quot;;""><br><br></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">
Regarding initiatives to recognise and reward open science practices, the </span><span style=""font-size&#58;12.0pt;line-height&#58;115%;font-family&#58;&quot;Courier New&quot;;""><a href=""https&#58;//president.uz/ru/lists/view/3926""><span style=""font-family&#58;calibri;font-size&#58;11pt;line-height&#58;normal;"">Concept of Development of
Science until 2030</span></a></span><span style=""font-family&#58;calibri;font-size&#58;11pt;""> outlines
strategies including a national rating system to evaluate the effectiveness of
scientific and innovative activities, aimed at improving partnerships between
the state and scientific organisations. The government also plans to raise the
share of private sector funding for research and development from 8 per cent to
20 per cent by 2025, and to 30 per cent by 2030, which the report describes as
intended to incentivise open science practices.</span></p><br>"
"UZB","6","<p style=""margin&#58;0in;font-size&#58;10.5pt;font-family&#58;Consolas;""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">The information
provided in the report does not directly address the questions covered by this
section.</span><span style=""font-family&#58;&quot;Courier New&quot;;""><br></span></p><br>"
"UZB","7","<p style=""margin&#58;0in;font-size&#58;10.5pt;font-family&#58;Consolas;""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">Uzbekistan
promotes international scientific collaborations on open science through
several channels. In October 2023, Uzbekistan and China signed a Memorandum of
Understanding to establish an Open Science Framework, aiming to improve
interoperability between their scientific data platforms and facilitate open
sharing of scientific data. </span><span style=""font-family&#58;&quot;Courier New&quot;;""><br><br></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">
Uzbekistan is involved in discussions on regional and international funding
mechanisms for open science. It participates in UNESCO initiatives that include
discussions on global open science funding. As a member of the Economic
Cooperation Organization (ECO) Science Foundation, an intergovernmental body
promoting scientific and technological research among its member states,
Uzbekistan engages in initiatives that may encompass open science funding
discussions.</span></p><br>"
"FRA","1","<p style=""margin&#58;0in;font-size&#58;10.5pt;font-family&#58;Consolas;""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">The </span><span style=""font-family&#58;&quot;Courier New&quot;;""><a href=""https&#58;//www.ouvrirlascience.fr/""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">Committee for Open Science</span></a></span><span style=""font-family&#58;calibri;font-size&#58;11pt;""> (Comité
pour la Science Ouverte), active since 2018, has drawn on the 2021 UNESCO Recommendation
on Open Science to support national policy and disseminates it through its website.</span><span style=""font-family&#58;&quot;Courier New&quot;;""><br><br></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">
Awareness-raising has been conducted primarily through the </span><span style=""font-size&#58;12.0pt;line-height&#58;115%;font-family&#58;&quot;Courier New&quot;;""><a href=""https&#58;//www.enseignementsup-recherche.gouv.fr/fr/le-plan-national-pour-la-science-ouverte-2021-2024-vers-une-generalisation-de-la-science-ouverte-en-48525""><span style=""font-family&#58;calibri;font-size&#58;11pt;line-height&#58;normal;"">second
National Plan for Open Science</span></a></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">,
which contains over one hundred measures. A large proportion of these have been
completed; those not yet realised due to time constraints are planned for the
near future. The actions focus on two of the Recommendation's pillars&#58; open
scientific knowledge and open science infrastructures.</span></p><br>"
"FRA","2","<p style=""margin&#58;0in;font-size&#58;10.5pt;font-family&#58;Consolas;""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">France's science,
technology and innovation policy, expressed through the France 2030
acceleration strategies comprising 20 thematic national strategies, references
the National Plan for Open Science, addressing open access and open science
infrastructures.</span><span style=""font-family&#58;&quot;Courier New&quot;;""><br><br></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">
The principal legal framework is the Law for a Digital Republic (Loi pour une
République Numérique, 2016), which frames the opening and sharing of research
data and publications; the Committee for Open Science provides an application
guide. From 2018, two successive national plans have further detailed policy,
while the Committee for Open Science serves as the governance instrument, led
under the Ministry of Higher Education and Research and including funding and
evaluation agencies, national research organisations and universities,
organised in a steering committee and thematic colleges. The second National
Plan covers four axes&#58; open publications, research data sharing, software and
source code sharing and generalising practices through evaluation reform; officially
ending in 2024, completion is expected by at least 2025. </span></p><p style=""margin&#58;0in;font-size&#58;10.5pt;font-family&#58;Consolas;""><span style=""font-family&#58;&quot;Courier New&quot;;""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">&#160;</span></span></p><p style=""margin&#58;0in;font-size&#58;10.5pt;font-family&#58;Consolas;""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">At the
institutional level, approximately 60% of French institutions (61
establishments) have adopted institutional open science policies, tracked
through the French Open Science Barometer.</span><span style=""font-family&#58;&quot;Courier New&quot;;""><br><br></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">
A National Fund for Open Science (Fonds national pour la science ouverte) has
operated since 2019</span><span style=""font-size&#58;11pt;line-height&#58;normal;font-family&#58;calibri;""> as a dedicated funding mechanism for open science</span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">. The National Research Agency (Agence
Nationale de la Recherche) requires immediate open access for articles from
funded projects, though open science has not been integrated into all funding
mechanisms. No policy </span><span style=""font-size&#58;11pt;line-height&#58;normal;font-family&#58;calibri;"">specifically </span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">targets
public-private partnerships</span><span style=""font-size&#58;11pt;line-height&#58;normal;font-family&#58;calibri;""> in support of open science</span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">. The Open Science Barometer (Baromètre de la
science ouverte), built from open data, is the national monitoring framework,
providing indicators on publications, data, software, theses, clinical trials,
observational studies and institutional policies.</span></p><br>"
"FRA","3","<div style=""margin&#58;0px 0in;font-size&#58;10.5pt;font-family&#58;Consolas;""><p style=""margin&#58;0in;font-size&#58;10.5pt;font-family&#58;Consolas;""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">France operates
several national non-profit open science infrastructures. </span><span style=""font-family&#58;&quot;Courier New&quot;;""><a href=""https&#58;//hal.science/""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">HAL (Hyper Articles en Ligne)</span></a></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">, created in 2001,
hosts scientific documents, commonly preprints, and complies fully with FAIR
(Findable, Accessible, Interoperable, Reusable) principles via OAI-PMH (Open
Archives Initiative Protocol for Metadata Harvesting), while also adhering to
POSI (Principles of Open Scholarly Infrastructure) and CoreTrustSeal. </span><span style=""font-family&#58;&quot;Courier New&quot;;""><a href=""https&#58;//recherche.data.gouv.fr/""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">Recherche Data Gouv</span></a></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">, inaugurated in
2022, federates data workshops distributed across the territory, thematic
resource and reference centres, and a general-purpose research data repository
for communities lacking disciplinary repositories; it is FAIR-compliant by
design. </span><span style=""font-family&#58;&quot;Courier New&quot;;""><a href=""https&#58;//www.softwareheritage.org/""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">Software Heritage</span></a></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">,
launched in 2016 and supported by INRIA (Institut National de Recherche en
Informatique et en Automatique) and UNESCO, archives software and source code
and is FAIR-compliant by construction. </span><span style=""font-family&#58;&quot;Courier New&quot;;""><a href=""https&#58;//www.openedition.org/""><span style=""font-family&#58;calibri;font-size&#58;11pt;"">OpenEdition</span></a></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">
and the Centre Mersenne are non-profit diamond open access platforms for
journals and books. A broader ecosystem of software forges is documented in a
dedicated report. The national research infrastructure strategy includes a
detailed compliance analysis of all research infrastructures against open science
policy.</span><span style=""font-family&#58;&quot;Courier New&quot;;""><br><br></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">
These principal infrastructures also function at international scale. HAL, with
interfaces in French and English, is open to researchers worldwide. Recherche
Data Gouv is accessible across Europe. Software Heritage serves developers
globally across public and private sectors.</span><span style=""font-family&#58;&quot;Courier New&quot;;""><br><br></span><span style=""font-family&#58;calibri;font-size&#58;11pt;"">
France does not participate in North-South, North-South-South or South-South
collaborations for shared open science platforms.</span></p><br></div>"
